Gene	chr	start	end	strand	SNP	order	PhytoID	txid	proid	PFAM	Panther	KOG	KEGGec	KEGGorth	GO	ara_hit_id	ara_hit_symbol	ara_hit_defline	rice_hit_id	rice_hit_symbol	rice_hit_defile
GRMZM2G071871	chr8	27121669	27128092	-	8_27127525	48	30979964	GRMZM2G071871_T01	GRMZM2G071871_P01	PF01336	PTHR22594:SF10,PTHR22594				GO:0003676	AT4G31180.1		Class II aminoacyl-tRNA and biotin synthetases superfamily protein	LOC_Os02g46130.1	NA	tRNA synthetases class II domain containing protein, expressed
GRMZM2G010596	chr8	27213554	27216282	-	8_27127525	49	30979799	GRMZM2G010596_T02	GRMZM2G010596_P02	PF02548	PTHR20881	KOG2949			GO:0003864,GO:0015940	AT3G61530.1	PANB2	Phosphoenolpyruvate carboxylase family protein	LOC_Os01g12560.1	NA	3-methyl-2-oxobutanoate hydroxymethyltransferase, putative, expressed
GRMZM2G010596	chr8	27213554	27216282	-	8_27127525	49	30979800	GRMZM2G010596_T03	GRMZM2G010596_P03	PF02548	PTHR20881				GO:0003864,GO:0015940	AT2G46110.1	KPHMT1,PANB1	ketopantoate hydroxymethyltransferase 1	LOC_Os01g12560.1	NA	3-methyl-2-oxobutanoate hydroxymethyltransferase, putative, expressed
GRMZM2G010596	chr8	27213554	27216282	-	8_27127525	49	30979798	GRMZM2G010596_T01	GRMZM2G010596_P01	PF02548	PTHR20881	KOG2949	2.1.2.11	K00606	GO:0003864,GO:0015940	AT2G46110.1	KPHMT1,PANB1	ketopantoate hydroxymethyltransferase 1	LOC_Os01g12560.1	NA	3-methyl-2-oxobutanoate hydroxymethyltransferase, putative, expressed
GRMZM2G011079	chr8	27216529	27222145	+	8_27127525	50	30981201	GRMZM2G011079_T01	GRMZM2G011079_P01							AT3G22270.1		Topoisomerase II-associated protein PAT1	LOC_Os02g19220.1	NA	expressed protein
GRMZM2G011079	chr8	27216529	27222145	+	8_27127525	50	30981200	GRMZM2G011079_T02	GRMZM2G011079_P02	PF09770	PTHR21551			K12617		AT1G79090.1			LOC_Os02g19330.1	NA	expressed protein
GRMZM2G403797	chr8	72298289	72300367	+	8_72384070	51	30975784	GRMZM2G403797_T01	GRMZM2G403797_P01	PF11955						AT4G01037.1	AtWTF1,WTF1	Ubiquitin carboxyl-terminal hydrolase family protein	LOC_Os05g49610.1	NA	ubiquitin carboxyl-terminal hydrolase, family 1, putative, expressed
GRMZM2G363187	chr8	72304954	72378851	+	8_72384070	52	30975424	GRMZM2G363187_T01	GRMZM2G363187_P01											NA	
GRMZM2G063841	chr8	72379569	72382396	+	8_72384070	53	30975651	GRMZM2G063841_T01	GRMZM2G063841_P01	PF00481	PTHR13832,PTHR13832:SF94				GO:0003824	AT5G26010.1		Protein phosphatase 2C family protein	LOC_Os02g13100.1	NA	protein phosphatase 2C, putative, expressed
GRMZM2G063880	chr8	72382998	72384377	-	8_72384070	54	30979270	GRMZM2G063880_T02	GRMZM2G063880_P02										LOC_Os05g49620.1	NA	WRKY19, expressed
GRMZM2G063880	chr8	72382998	72384377	-	8_72384070	54	30979269	GRMZM2G063880_T01	GRMZM2G063880_P01	PF03106					GO:0003700,GO:0043565,GO:0006355	AT4G23810.1	ATWRKY53,WRKY53	WRKY family transcription factor	LOC_Os05g49620.1	NA	WRKY19, expressed
GRMZM2G100982	chr8	72423514	72424394	-	8_72384070	55	30980817	GRMZM2G100982_T01	GRMZM2G100982_P01	PF00847					GO:0003700,GO:0006355	AT4G39780.1		Integrase-type DNA-binding superfamily protein	LOC_Os05g49700.1	NA	AP2 domain containing protein, expressed
GRMZM2G000236	chr9	7308153	7309906	+	9_7403745	56	31037063	GRMZM2G000236_T01	GRMZM2G000236_P01	PF00724	PTHR22893,PTHR22893:SF13	KOG0134			GO:0010181,GO:0016491,GO:0055114	AT1G76680.1	ATOPR1,OPR1	12-oxophytodienoate reductase 1	LOC_Os06g11290.1	NA	12-oxophytodienoate reductase, putative, expressed
GRMZM2G000231	chr9	7311823	7319955	-	9_7403745	57	31040499	GRMZM2G000231_T01	GRMZM2G000231_P01	PF00326	PTHR11731,PTHR11731:SF54				GO:0008236,GO:0006508	AT5G36210.1		alpha/beta-Hydrolases superfamily protein	LOC_Os06g11190.1	NA	OsPOP13 - Putative Prolyl Oligopeptidase homologue, expressed
GRMZM2G703223	chr9	7320951	7339614	+	9_7403745	58	31041571	GRMZM2G703223_T01	GRMZM2G703223_P01											NA	
GRMZM2G106303	chr9	7393220	7394900	+	9_7403745	59	31038674	GRMZM2G106303_T01	GRMZM2G106303_P01	PF00724	PTHR22893,PTHR22893:SF13	KOG0134			GO:0010181,GO:0016491,GO:0055114	AT1G76690.1	ATOPR2,OPR2	12-oxophytodienoate reductase 2	LOC_Os06g11290.1	NA	12-oxophytodienoate reductase, putative, expressed
GRMZM2G390849	chr9	7406132	7411503	-	9_7403745	60	31042211	GRMZM2G390849_T01	GRMZM2G390849_P01							AT1G14990.2			LOC_Os01g42120.1	NA	expressed protein
GRMZM2G141303	chr9	17582575	17583441	-	9_17668506	61	31042538	GRMZM2G141303_T01	GRMZM2G141303_P01	PF04601									LOC_Os06g06580.1	NA	expressed protein
GRMZM2G129451	chr9	17633649	17644469	+	9_17668506	62	31039568	GRMZM2G129451_T01	GRMZM2G129451_P01							AT5G24300.1	ATSS1,SSI,SSI1	Glycogen/starch synthases, ADP-glucose type	LOC_Os06g06560.1	NA	starch synthase, putative, expressed
GRMZM2G129451	chr9	17633649	17644469	+	9_17668506	62	31039567	GRMZM2G129451_T02	GRMZM2G129451_P02	PF00534,PF08323	PTHR12526,PTHR12526:SF17		2.4.1.21	K00703	GO:0009058	AT5G24300.1	ATSS1,SSI,SSI1	Glycogen/starch synthases, ADP-glucose type	LOC_Os06g06560.1	NA	starch synthase, putative, expressed
GRMZM2G429378	chr9	17648636	17649583	-	9_17668506	63	31039865	GRMZM2G429378_T01	GRMZM2G429378_P01	PF00847					GO:0003700,GO:0006355	AT4G27950.1	CRF4	cytokinin response factor 4	LOC_Os06g06540.1	NA	AP2 domain containing protein, expressed
GRMZM2G071249	chr9	17663014	17672153	+	9_17668506	64	31042860	GRMZM2G071249_T02	GRMZM2G071249_P02	PF00657	PTHR22835,PTHR22835:SF39				GO:0016788,GO:0006629	AT4G01130.1		GDSL-like Lipase/Acylhydrolase superfamily protein	LOC_Os06g06520.1	NA	GDSL-like lipase/acylhydrolase, putative, expressed
GRMZM2G071249	chr9	17663014	17672153	+	9_17668506	64	31042858	GRMZM2G071249_T03	GRMZM2G071249_P03	PF00657	PTHR22835,PTHR22835:SF39				GO:0016788,GO:0006629	AT4G01130.1		GDSL-like Lipase/Acylhydrolase superfamily protein	LOC_Os06g06520.1	NA	GDSL-like lipase/acylhydrolase, putative, expressed
GRMZM2G071249	chr9	17663014	17672153	+	9_17668506	64	31042859	GRMZM2G071249_T01	GRMZM2G071249_P01							AT5G53330.1		Ubiquitin-associated/translation elongation factor EF1B protein	LOC_Os06g06530.1	NA	proline-rich cell wall protein-like, putative, expressed
GRMZM2G130079	chr9	17724180	17725237	+	9_17668506	65	31042334	GRMZM2G130079_T02	GRMZM2G130079_P02	PF00125	PTHR11426	KOG1745			GO:0003677	AT1G09200.1		Histone superfamily protein	LOC_Os04g34240.1	NA	histone H3, putative, expressed
GRMZM2G130079	chr9	17724180	17725237	+	9_17668506	65	31042335	GRMZM2G130079_T01	GRMZM2G130079_P01	PF00125	PTHR11426	KOG1745			GO:0003677	AT1G09200.1		Histone superfamily protein	LOC_Os04g34240.1	NA	histone H3, putative, expressed
GRMZM2G111903	chr9	17739642	17751534	+	9_17668506	66	31039168	GRMZM2G111903_T01	GRMZM2G111903_P01	PF00664,PF00005	PTHR24223:SF21,PTHR24223	KOG0054			GO:0005524,GO:0016887,GO:0042626,GO:0006810,GO:0055085,GO:0016021	AT3G59140.1	ATMRP14,MRP14	multidrug resistance-associated protein 14	LOC_Os06g06440.1	NA	ABC transporter, ATP-binding protein, putative, expressed
GRMZM2G111903	chr9	17739642	17751534	+	9_17668506	66	31039167	GRMZM2G111903_T02	GRMZM2G111903_P02	PF00664,PF00005	PTHR24223,PTHR24223:SF21	KOG0054			GO:0005524,GO:0016887,GO:0042626,GO:0006810,GO:0055085,GO:0016021	AT3G59140.1	ATMRP14,MRP14	multidrug resistance-associated protein 14	LOC_Os06g06440.1	NA	ABC transporter, ATP-binding protein, putative, expressed
GRMZM2G111962	chr9	17752112	17753418	-	9_17668506	67	31041297	GRMZM2G111962_T01	GRMZM2G111962_P01	PF06697						AT4G01140.1		Protein of unknown function (DUF1191)	LOC_Os06g06430.1	NA	expressed protein
